763	Cuivre	Cu(Cl2)_2(H20)	10ug	06/11/2020 10:30:00	06/11/2020 10:34:00
764	Cuivre	Cu(Cl2)_2(H20)	100ug	06/11/2020 10:35:00	06/11/2020 10:43:00
765	Cuivre	Cu(Cl2)_2(H20)	380ug	06/11/2020 10:47:00	06/11/2020 10:51:00
767	Cuivre	Cu(Cl2)_2(H20)	1000ug	06/11/2020 10:51:00	06/11/2020 10:54:00
766	TEM		0ug	06/11/2020 10:55:00	06/11/2020 10:57:00
763	Cuivre	Cu(Cl2)_2(H20)	2ug	13/11/2020 11:30:00	06/11/2020 11:36:00
764	Cuivre	Cu(Cl2)_2(H20)	10ug	13/11/2020 11:39:00	06/11/2020 11:44:00
765	Cuivre	Cu(Cl2)_2(H20)	50ug	13/11/2020 11:48:00	06/11/2020 11:53:00
766	TEM		0ug	13/11/2020 11:59:00	06/11/2020 12:00:00
767	Cuivre	Cu(Cl2)_2(H20)	100ug	13/11/2020 11:54:00	06/11/2020 11:58:00
763	Cuivre	Cu(Cl2)_2(H20)	2ug	13/11/2020 11:30:00	13/11/2020 11:36:00
764	Cuivre	Cu(Cl2)_2(H20)	10ug	13/11/2020 11:39:00	13/11/2020 11:44:00
765	Cuivre	Cu(Cl2)_2(H20)	50ug	13/11/2020 11:48:00	13/11/2020 11:53:00
766	TEM		0ug	13/11/2020 11:59:00	13/11/2020 12:00:00
767	Cuivre	Cu(Cl2)_2(H20)	100ug	13/11/2020 11:54:00	13/11/2020 11:58:00
763	Zinc	Zn(SO4)_7(H2O)	36ug	20/11/2020 09:51:00	20/11/2020 09:58:00
764	Zinc	Zn(SO4)_7(H2O)	72ug	20/11/2020 10:00:00	20/11/2020 10:07:00
765	Zinc	Zn(SO4)_7(H2O)	360ug	20/11/2020 10:08:00	20/11/2020 10:15:00
766	TEM		0ug	20/11/2020 10:22:00	20/11/2020 10:24:00
767	Zinc	Zn(SO4)_7(H2O)	720ug	20/11/2020 10:16:00	20/11/2020 10:22:00
763	Zinc	Zn(SO4)_7(H2O)	36ug	27/11/2020 10:40:00	27/11/2020 10:48:00
764	Zinc	Zn(SO4)_7(H2O)	72ug	27/11/2020 10:49:00	27/11/2020 10:54:00
765	Zinc	Zn(SO4)_7(H2O)	360ug	27/11/2020 10:55:00	27/11/2020 11:01:00
766	TEM		0ug	27/11/2020 11:08:00	27/11/2020 11:11:00
767	Zinc	Zn(SO4)_7(H2O)	720ug	27/11/2020 11:02:00	27/11/2020 11:07:00
763	Zinc	Zn(SO4)_7(H2O)	36ug	04/12/2020 13:09:00	04/12/2020 13:14:00
764	Zinc	Zn(SO4)_7(H2O)	72ug	04/12/2020 13:15:00	04/12/2020 13:20:00
765	Zinc	Zn(SO4)_7(H2O)	360ug	04/12/2020 13:21:00	04/12/2020 13:25:00
767	Zinc	Zn(SO4)_7(H2O)	720ug	04/12/2020 13:26:00	04/12/2020 13:30:00
766	TEM		0ug	04/12/2020 13:31:00	04/12/2020 13:34:00
763	Aluminium	(Al)(Cl3)_6(H20)	454ug	11/12/2020 09:56:00	11/12/2020 10:01:00
764	Cobalt	(Co)(SO4)_7(H20)	141ug	11/12/2020 10:01:00	11/12/2020 10:06:00
765	Manganese	(Mn)(SO4)_(H20)	2969ug	11/12/2020 10:14:00	11/12/2020 10:19:00
767	Chloroacetic Acid	C2H3ClO2	19200ug	11/12/2020 10:19:00	11/12/2020 10:24:00
766	TEM		0ug	11/12/2020 10:25:00	11/12/2020 10:30:00
763	Aluminium	AlCl3_6(H2O)	454ug	18/12/2020 10:51:00	18/12/2020 10:56:00
764	Cobalt	Co(SO4)_7(H20)	141ug	18/12/2020 10:57:00	18/12/2020 11:01:00
765	Manganese	Mn(SO4)_(H20)	2969ug	18/12/2020 11:04:00	18/12/2020 11:08:00
767	Chloroacetic	C2H3ClO2	19200ug	18/12/2020 11:09:00	18/12/2020 11:13:00
766	TEM		0ug	18/12/2020 11:13:00	18/12/2020 11:17:00
